菜品,分类,价格,辣度,主要食材,忌口标签,可用,推荐说明
柠檬茶,饮品,12,不辣,柠檬红茶,无,是,酸甜解腻
鲜榨西瓜汁,饮品,18,不辣,西瓜,无,是,晴天清爽解渴
汉堡,汉堡,22,不辣,牛肉面包生菜,含麸质含肉,是,经典牛肉汉堡
芝士牛肉汉堡,汉堡,28,不辣,牛肉芝士面包,含乳含麸质,是,芝士浓郁
培根鸡肉汉堡,汉堡,26,不辣,鸡肉培根面包,含肉含麸质,是,咸香饱腹
香辣鸡腿堡,汉堡,25,微辣,鸡腿面包生菜,含麸质含肉,是,适合喜欢微辣
鳕鱼汉堡,汉堡,27,不辣,鳕鱼面包生菜,含鱼含麸质,是,鱼肉清爽
牛肉双层堡,汉堡,32,不辣,双层牛肉面包,含麸质含肉,是,肉感十足
鸡蛋火腿堡,汉堡,18,不辣,鸡蛋火腿面包,含蛋含麸质,是,早餐方便
素食蔬菜堡,汉堡,20,不辣,蔬菜豆制品面包,含麸质,是,素食选择
凯撒鸡肉沙拉,沙拉,26,不辣,鸡肉生菜芝士,含乳含肉,是,清爽高蛋白
金枪鱼沙拉,沙拉,28,不辣,金枪鱼生菜玉米,含鱼,是,低脂轻食
鸡蛋玉米沙拉,沙拉,20,不辣,鸡蛋玉米生菜,含蛋,是,简单清爽
牛油果鸡肉沙拉,沙拉,32,不辣,牛油果鸡肉生菜,含肉,是,饱腹轻食
水果酸奶沙拉,沙拉,22,不辣,时令水果酸奶,含乳,是,酸甜清新
藜麦蔬菜沙拉,沙拉,25,不辣,藜麦蔬菜玉米,无,是,适合轻食
虾仁蔬菜沙拉,沙拉,30,不辣,虾仁生菜番茄,含虾,是,鲜甜低负担
番茄牛腩汤,汤品,28,不辣,牛腩番茄,含肉,是,酸香暖胃
紫菜蛋花汤,汤品,10,不辣,紫菜鸡蛋,含蛋,是,清淡快速
玉米排骨汤,汤品,24,不辣,玉米排骨,含肉,是,清甜家常
酸辣汤,汤品,14,微辣,豆腐木耳蛋,含蛋豆制品,是,酸辣开胃
菌菇汤,汤品,18,不辣,多种菌菇,无,是,鲜美清淡
冬瓜虾皮汤,汤品,16,不辣,冬瓜虾皮,含虾,是,清爽低脂
萝卜羊肉汤,汤品,30,不辣,羊肉萝卜,含肉,是,滋补暖身
莲藕排骨汤,汤品,26,不辣,莲藕排骨,含肉,是,家常滋补
鲜虾披萨,披萨,38,不辣,虾仁芝士面饼,含虾含乳含麸质,是,海鲜芝士风味
培根披萨,披萨,35,不辣,培根芝士面饼,含肉含乳含麸质,是,咸香浓郁
夏威夷披萨,披萨,36,不辣,火腿菠萝芝士,含肉含乳,是,酸甜咸香
芝士玉米披萨,披萨,30,不辣,玉米芝士面饼,含乳含麸质,是,甜香拉丝
香辣牛肉披萨,披萨,40,微辣,牛肉辣椒芝士,含肉含乳,是,肉香微辣
田园蔬菜披萨,披萨,32,不辣,彩椒玉米蘑菇,含乳含麸质,是,蔬菜丰富
榴莲披萨,披萨,42,不辣,榴莲芝士面饼,含乳含麸质,是,浓郁甜香
海鲜披萨,披萨,45,不辣,虾仁鱿鱼芝士,含海鲜含乳,是,海鲜丰富
炸鸡块,炸物,20,不辣,鸡肉面糊,含肉含麸质,是,外酥里嫩
炸薯条,炸物,12,不辣,土豆,无,是,经典小食
炸鸡排,炸物,22,微辣,鸡肉面糊,含肉含麸质,是,酥脆饱腹
炸鱿鱼圈,炸物,24,不辣,鱿鱼面糊,含海鲜含麸质,是,海鲜小食
炸春卷,炸物,15,不辣,蔬菜面皮,含麸质,是,酥脆素食
炸香蕉,炸物,14,不辣,香蕉面糊,含麸质,是,香甜小吃
炸年糕,炸物,16,微辣,年糕辣酱,含麸质,是,外脆里糯
炸豆腐,炸物,13,不辣,豆腐,含豆制品,是,外酥内嫩
酱香豆花,豆花甜品,12,不辣,豆花酱汁,含豆制品,是,咸甜皆宜
红糖豆花,豆花甜品,12,不辣,豆花红糖,含豆制品,是,甜润顺滑
水果豆花,豆花甜品,18,不辣,豆花水果,含豆制品,是,清爽甜品
芋圆豆花,豆花甜品,20,不辣,豆花芋圆,含豆制品,是,软糯香甜
抹茶豆花,豆花甜品,18,不辣,豆花抹茶,含豆制品,是,清新微苦
花生豆花,豆花甜品,16,不辣,豆花生,含豆制品含花生,是,香浓饱腹
肉包子,包子,3,不辣,猪肉面粉,含肉含麸质,是,早餐方便
鲜肉包,包子,4,不辣,猪肉面粉,含肉含麸质,是,汁水丰富
白菜猪肉包,包子,3,不辣,白菜猪肉面粉,含肉含麸质,是,家常口味
香菇青菜包,包子,3,不辣,香菇青菜面粉,含麸质,是,素馅清香
豆沙包,包子,3,不辣,红豆面粉,含麸质,是,香甜早餐
奶黄包,包子,4,不辣,蛋奶面粉,含蛋含乳含麸质,是,奶香甜软
叉烧包,包子,5,不辣,叉烧面粉,含肉含麸质,是,广式风味
小笼包,包子,18,不辣,猪肉面皮,含肉含麸质,是,一笼分享
水煮牛肉,水煮类,35,中辣,牛肉豆芽,含肉,是,麻辣鲜香
水煮虾,水煮类,38,中辣,虾蔬菜,含虾,是,鲜辣过瘾
水煮豆腐,水煮类,20,微辣,豆腐豆芽,含豆制品,是,素食下饭
水煮鸡片,水煮类,30,中辣,鸡肉豆芽,含肉,是,嫩滑麻辣
水煮鱼,水煮类,36,中辣,鱼片豆芽,含鱼,是,经典川味
麻辣火锅,火锅,88,中辣,牛肉蔬菜丸子,含肉,是,适合多人聚餐
番茄火锅,火锅,78,不辣,番茄蔬菜肉片,含肉,是,酸甜开胃
菌汤火锅,火锅,75,不辣,菌菇蔬菜,无,是,鲜美清淡
鸳鸯火锅,火锅,98,一半辣,肉片蔬菜,含肉,是,两种口味兼顾
椰子鸡火锅,火锅,108,不辣,鸡肉椰子,含肉,是,清甜滋补
潮汕牛肉火锅,火锅,118,不辣,牛肉蔬菜,含肉,是,肉质鲜嫩
鱼头火锅,火锅,96,微辣,鱼头豆腐,含鱼豆制品,是,鲜香暖胃
冒菜牛肉,冒菜,28,中辣,牛肉蔬菜,含肉,是,一人份麻辣
冒菜鸡肉,冒菜,25,微辣,鸡肉蔬菜,含肉,是,方便饱腹
素冒菜,冒菜,22,中辣,豆腐蔬菜,含豆制品,是,素食麻辣
冒菜宽粉,冒菜,20,中辣,宽粉蔬菜,无,是,粉条爱好者
番茄冒菜,冒菜,24,不辣,番茄蔬菜,无,是,酸甜清爽
冒菜拼盘,冒菜,32,中辣,肉丸蔬菜宽粉,含肉,是,配料丰富
豚骨拉面,拉面,28,不辣,猪骨面条叉烧,含肉含麸质,是,汤浓面香
味噌拉面,拉面,26,不辣,味噌面条玉米,含麸质,是,咸香暖胃
海鲜拉面,拉面,32,不辣,虾鱿鱼面条,含海鲜含麸质,是,鲜味丰富
辣白菜拉面,拉面,24,微辣,面条辣白菜,含麸质,是,酸辣开胃
鸡汤拉面,拉面,25,不辣,鸡肉面条,含肉含麸质,是,清香饱腹
麻辣拉面,拉面,24,中辣,面条牛肉,含肉含麸质,是,麻辣过瘾
冷面,拉面,20,不辣,荞麦面鸡蛋,含蛋,是,清凉爽口
凉皮,凉皮,12,微辣,面皮黄瓜辣油,含麸质,是,酸辣开胃
麻酱凉皮,凉皮,15,不辣,面皮芝麻酱,含麸质含芝麻,是,香浓顺滑
肉夹馍凉皮套餐,凉皮,25,微辣,凉皮猪肉馍,含肉含麸质,是,套餐饱腹
酸辣凉皮,凉皮,14,中辣,面皮辣椒醋,含麸质,是,酸辣爽口
擀面皮,凉皮,13,微辣,面皮豆芽,含麸质,是,筋道开胃
鸡胸肉轻食,轻食,28,不辣,鸡胸肉蔬菜,含肉,是,高蛋白低脂
牛肉藜麦轻食,轻食,32,不辣,牛肉藜麦蔬菜,含肉,是,饱腹均衡
三文鱼轻食,轻食,42,不辣,三文鱼蔬菜,含鱼,是,优质蛋白
鸡蛋蔬菜能量碗,轻食,22,不辣,鸡蛋蔬菜杂粮,含蛋,是,清爽饱腹
紫薯鸡胸肉沙拉,轻食,26,不辣,紫薯鸡胸肉,含肉,是,低脂高纤
虾仁藜麦碗,轻食,34,不辣,虾仁藜麦蔬菜,含虾,是,鲜美轻食
云吞面,云吞馄饨,22,不辣,猪肉云吞面条,含肉含麸质,是,汤面饱腹
鲜虾云吞,云吞馄饨,24,不辣,虾仁猪肉面皮,含虾含肉,是,鲜嫩多汁
猪肉馄饨,云吞馄饨,18,不辣,猪肉面皮,含肉含麸质,是,家常汤食
酸辣馄饨,云吞馄饨,20,微辣,馄饨酸汤,含肉含麸质,是,酸辣开胃
荠菜馄饨,云吞馄饨,18,不辣,荠菜猪肉面皮,含肉含麸质,是,清香家常
鲜虾蒸饺,鲜虾类,26,不辣,虾仁面皮,含虾含麸质,是,鲜甜蒸饺
蒜蓉蒸虾,鲜虾类,38,不辣,虾蒜蓉,含虾,是,蒜香鲜美
白灼虾,鲜虾类,35,不辣,鲜虾,含虾,是,清淡高蛋白
椒盐虾,鲜虾类,36,微辣,虾椒盐,含虾,是,香酥鲜辣
虾仁炒蛋,鲜虾类,28,不辣,虾仁鸡蛋,含虾含蛋,是,鲜嫩下饭
虾滑粉丝煲,鲜虾类,32,不辣,虾滑粉丝,含虾,是,鲜香暖胃
卤鸡腿,卤菜,18,不辣,鸡腿卤汁,含肉,是,方便下饭
卤鸭脖,卤菜,20,微辣,鸭脖辣卤,含肉,是,香辣小吃
卤牛肉,卤菜,32,不辣,牛肉卤汁,含肉,是,高蛋白冷盘
卤猪蹄,卤菜,28,不辣,猪蹄卤汁,含肉,是,软糯胶原
卤豆干,卤菜,12,不辣,豆干卤汁,含豆制品,是,素食小吃
卤味拼盘,卤菜,35,微辣,鸡翅鸭脖豆干,含肉含豆制品,是,多人分享
山东煎饼,鲁菜,15,不辣,面粉鸡蛋蔬菜,含蛋含麸质,是,早餐饱腹
九转大肠,鲁菜,38,不辣,猪大肠,含肉,是,鲁菜经典
葱烧海参,鲁菜,68,不辣,海参大葱,含海鲜,是,高级滋补
德州扒鸡,鲁菜,42,不辣,整鸡,含肉,是,鲁菜名菜
糖醋鲤鱼,鲁菜,36,不辣,鲤鱼糖醋汁,含鱼,是,酸甜鲜香
锅塌豆腐,鲁菜,22,不辣,豆腐鸡蛋,含蛋豆制品,是,外香内嫩
臭豆腐,小吃,12,微辣,豆腐辣酱,含豆制品,是,外酥内软
长沙臭豆腐,小吃,15,中辣,豆腐蒜汁辣椒,含豆制品,是,湘味小吃
麻辣烫,麻辣烫,25,中辣,蔬菜丸子面,含肉,是,自由搭配
清汤麻辣烫,麻辣烫,23,微辣,蔬菜豆腐,含豆制品,是,清爽少油
番茄麻辣烫,麻辣烫,26,不辣,番茄蔬菜丸子,含肉,是,酸甜开胃
牛肉麻辣烫,麻辣烫,30,中辣,牛肉蔬菜粉,含肉,是,肉香麻辣
烤鸭饭,烤鸭饭,32,不辣,烤鸭米饭黄瓜,含肉含麸质,是,鸭皮酥香
烤鸭腿饭,烤鸭饭,28,不辣,鸭腿米饭,含肉,是,单人饱腹
脆皮烤鸭,烤鸭饭,45,不辣,鸭肉面饼,含肉含麸质,是,适合分享
北京烤鸭卷,烤鸭饭,35,不辣,烤鸭面皮黄瓜,含肉含麸质,是,卷食方便
东北锅包肉,东北菜,30,不辣,猪肉糖醋汁,含肉,是,酸甜酥脆
东北乱炖,东北菜,28,不辣,土豆茄子排骨,含肉,是,家常炖菜
地三鲜,东北菜,22,不辣,茄子土豆青椒,无,是,下饭素菜
小鸡炖蘑菇,东北菜,32,不辣,鸡肉蘑菇,含肉,是,鲜香滋补
酸菜白肉,东北菜,28,不辣,酸菜猪肉,含肉,是,酸香暖胃
土豆粉麻辣牛肉,土豆粉,28,中辣,土豆粉牛肉蔬菜,含肉,是,粉糯麻辣
土豆粉番茄鸡蛋,土豆粉,22,不辣,土豆粉番茄鸡蛋,含蛋,是,酸甜清爽
土豆粉鲜虾,土豆粉,30,微辣,土豆粉虾仁蔬菜,含虾,是,鲜香饱腹
土豆粉肥牛,土豆粉,32,微辣,土豆粉肥牛,含肉,是,肉片丰富
酸辣土豆粉,土豆粉,20,微辣,土豆粉酸汤,无,是,酸辣开胃
湘味小炒肉,湘菜,26,中辣,猪肉青椒,含肉,是,湘味下饭
剁椒鱼头,湘菜,38,中辣,鱼头剁椒,含鱼,是,鲜辣过瘾
辣椒炒肉,湘菜,25,中辣,猪肉青椒,含肉,是,香辣下饭
湘西外婆菜,湘菜,22,微辣,腌菜鸡蛋,含蛋,是,咸香下饭
毛氏红烧肉,湘菜,32,微辣,五花肉糖色,含肉,是,肥而不腻
农家一碗香,湘菜,25,中辣,鸡蛋猪肉辣椒,含肉含蛋,是,香辣家常
荷包鸡,滋补类,38,不辣,鸡肉药材,含肉,是,滋补暖身
荷叶鸡,滋补类,42,不辣,整鸡荷叶,含肉,是,清香嫩滑
虫草花鸡汤,滋补类,45,不辣,鸡肉虫草花,含肉,是,鲜香滋补
当归羊肉汤,滋补类,40,不辣,羊肉当归,含肉,是,暖身滋补
山药排骨汤,滋补类,32,不辣,山药排骨,含肉,是,温和滋补
红枣枸杞炖鸡,滋补类,36,不辣,鸡肉红枣枸杞,含肉,是,甜香养生
燕窝炖雪梨,燕窝类,88,不辣,燕窝雪梨,无,是,清甜滋补
红枣燕窝,燕窝类,98,不辣,燕窝红枣,无,是,养生甜品
椰汁燕窝,燕窝类,108,不辣,燕窝椰汁,含乳,是,清润香甜
冰糖燕窝,燕窝类,95,不辣,燕窝冰糖,无,是,经典滋补
皮蛋瘦肉粥,粥类,15,不辣,大米皮蛋猪肉,含肉含蛋,是,暖胃饱腹
南瓜小米粥,粥类,10,不辣,南瓜小米,无,是,清甜养胃
海鲜粥,粥类,28,不辣,虾仁鱿鱼大米,含海鲜,是,鲜美暖胃
香菇鸡肉粥,粥类,18,不辣,鸡肉香菇大米,含肉,是,鲜香饱腹
红豆薏米粥,粥类,12,不辣,红豆薏米,无,是,清甜轻食
八宝粥,粥类,10,不辣,杂粮红豆,无,是,甜香饱腹
鲜肉酥饼,酥饼,8,不辣,猪肉面粉,含肉含麸质,是,酥香小吃
梅干菜酥饼,酥饼,7,不辣,梅干菜面粉,含麸质,是,咸香酥脆
红豆酥饼,酥饼,7,不辣,红豆面粉,含麸质,是,甜香酥皮
芝麻酥饼,酥饼,7,不辣,芝麻面粉,含芝麻含麸质,是,香酥可口
鲜花饼,酥饼,9,不辣,玫瑰花面粉,含麸质,是,花香甜润
桂花酥,酥饼,8,不辣,桂花面粉,含麸质,是,清香酥脆
菊花养生茶,养生茶,16,不辣,菊花枸杞,无,是,清香解腻
红枣枸杞茶,养生茶,18,不辣,红枣枸杞,无,是,温和养生
玫瑰花茶,养生茶,16,不辣,玫瑰花,无,是,花香舒缓
陈皮普洱茶,养生茶,18,不辣,陈皮普洱,无,是,醇厚解腻
桂圆红枣茶,养生茶,20,不辣,桂圆红枣,无,是,甘甜暖饮
蜂蜜柚子茶,养生茶,18,不辣,柚子蜂蜜,含蜂蜜,是,酸甜润口
韩式炸鸡,韩式小吃,32,微辣,鸡肉韩式辣酱,含肉,是,甜辣酥脆
韩式甜辣鸡翅,韩式小吃,28,微辣,鸡翅辣酱,含肉,是,甜辣开胃
韩式炸年糕,韩式小吃,22,微辣,年糕辣酱,含麸质,是,软糯甜辣
韩式芝士年糕,韩式小吃,26,微辣,年糕芝士,含乳含麸质,是,拉丝软糯
辣炒年糕,韩式小吃,20,中辣,年糕鱼饼辣酱,含鱼含麸质,是,经典韩味
鸡肉洋葱卷,卷物,24,不辣,鸡肉洋葱面饼,含肉含麸质,是,鲜香方便
黑椒鸡肉洋葱卷,卷物,26,微辣,鸡肉洋葱黑椒面饼,含肉含麸质,是,黑椒香浓
牛肉洋葱卷,卷物,28,不辣,牛肉洋葱面饼,含肉含麸质,是,肉香饱腹
虾滑,鲜虾类,26,不辣,虾肉淀粉,含虾,是,火锅冒菜常用
麻辣小龙虾,小龙虾,58,中辣,小龙虾辣椒,含虾,是,适合分享
蒜香小龙虾,小龙虾,58,不辣,小龙虾蒜蓉,含虾,是,蒜香鲜美
十三香小龙虾,小龙虾,62,微辣,小龙虾香料,含虾,是,香料丰富
香辣小龙虾饭,小龙虾,32,中辣,小龙虾米饭,含虾,是,单人饱腹
奶茶,奶茶,15,不辣,红茶牛奶,含乳,是,基础奶茶
奶绿,奶茶,16,不辣,绿茶牛奶,含乳,是,清香奶饮
茉莉奶茶,奶茶,17,不辣,茉莉茶牛奶,含乳,是,花香清新
乌龙奶茶,奶茶,18,不辣,乌龙茶牛奶,含乳,是,茶香浓郁
抹茶拿铁,奶茶,22,不辣,抹茶牛奶,含乳,是,抹茶微苦
黑糖珍珠鲜奶,奶茶,24,不辣,黑糖珍珠鲜奶,含乳,是,黑糖香甜
芋泥波奶茶,奶茶,23,不辣,芋泥珍珠奶茶,含乳,是,芋香浓郁
葡萄柚绿茶,饮品,18,不辣,葡萄柚绿茶,无,是,酸甜清爽
百香果茶,饮品,16,不辣,百香果红茶,无,是,酸甜解渴
蜜桃乌龙茶,饮品,18,不辣,蜜桃乌龙,无,是,果香茶饮
青柠气泡水,饮品,14,不辣,青柠气泡水,无,是,清爽解腻
椰汁,饮品,12,不辣,椰子汁,无,是,清甜解渴
芒果冰沙,饮品,22,不辣,芒果冰块,无,是,浓郁果香
草莓奶昔,饮品,24,不辣,草莓牛奶,含乳,是,酸甜顺滑
香草冰淇淋,冰淇淋,16,不辣,香草乳制品,含乳,是,经典奶香
抹茶冰淇淋,冰淇淋,18,不辣,抹茶乳制品,含乳,是,茶香微苦
芒果冰淇淋,冰淇淋,18,不辣,芒果乳制品,含乳,是,果香清甜
奥利奥冰淇淋,冰淇淋,20,不辣,奥利奥乳制品,含乳含麸质,是,酥脆浓郁
开心果冰淇淋,冰淇淋,22,不辣,开心果乳制品,含坚果含乳,是,坚果香浓
椰子冰淇淋,冰淇淋,20,不辣,椰子乳制品,含乳,是,椰香清爽
草莓蛋糕,蛋糕,26,不辣,草莓奶油面粉,含乳含麸质,是,酸甜奶香
巧克力蛋糕,蛋糕,25,不辣,巧克力奶油面粉,含乳含麸质,是,浓郁甜香
提拉米苏,蛋糕,28,不辣,咖啡奶油面粉,含乳含麸质,是,咖啡香浓
芝士蛋糕,蛋糕,26,不辣,奶酪面粉,含乳含麸质,是,绵密奶香
抹茶千层,蛋糕,30,不辣,抹茶奶油面粉,含乳含麸质,是,层次丰富
芋泥蛋糕,蛋糕,28,不辣,芋泥奶油面粉,含乳含麸质,是,芋香柔和
芒果千层,蛋糕,30,不辣,芒果奶油面粉,含乳含麸质,是,果香甜润
香蕉,水果,8,不辣,香蕉,无,是,方便补充能量
苹果,水果,8,不辣,苹果,无,是,清甜爽脆
橙子,水果,10,不辣,橙子,无,是,酸甜多汁
西瓜,水果,12,不辣,西瓜,无,是,晴天解渴
草莓,水果,18,不辣,草莓,无,是,酸甜新鲜
芒果,水果,16,不辣,芒果,无,是,香甜多汁
葡萄,水果,15,不辣,葡萄,无,是,清甜方便
火龙果,水果,14,不辣,火龙果,无,是,清爽高纤
鸡蛋灌饼,早餐,12,不辣,鸡蛋面饼,含蛋含麸质,是,早餐管饱
肉夹馍,早餐,15,不辣,猪肉馍,含肉含麸质,是,西北风味
手抓饼,早餐,10,不辣,面粉鸡蛋,含蛋含麸质,是,酥香方便
煎饼果子,早餐,12,微辣,鸡蛋薄脆面糊,含蛋含麸质,是,经典早餐
小米粥套餐,早餐,18,不辣,小米鸡蛋包子,含蛋含麸质,是,温和饱腹
烧麦,早餐,16,不辣,猪肉糯米面皮,含肉含麸质,是,点心早餐
蒸饺,早餐,18,不辣,猪肉面皮,含肉含麸质,是,方便早餐
牛肉卷饼,卷饼,22,不辣,牛肉面饼生菜,含肉含麸质,是,肉香饱腹
鸡肉卷饼,卷饼,20,不辣,鸡肉面饼生菜,含肉含麸质,是,单人方便
培根蔬菜卷,卷饼,18,不辣,培根蔬菜面饼,含肉含麸质,是,咸香清爽
金枪鱼卷,卷饼,24,不辣,金枪鱼生菜面饼,含鱼含麸质,是,轻食选择
豆浆油条,早餐,10,不辣,黄豆面粉,含豆制品含麸质,是,经典早餐
饭团,早餐,12,不辣,米饭肉松海苔,含肉,是,方便携带
海鲜炒乌冬,日式,30,不辣,乌冬虾仁鱿鱼,含海鲜含麸质,是,鲜香饱腹
照烧鸡排饭,日式,28,不辣,鸡肉米饭,含肉,是,甜咸下饭
鳗鱼饭,日式,48,不辣,鳗鱼米饭,含鱼,是,鲜香满足
寿司拼盘,日式,42,不辣,米饭鱼虾海苔,含海鲜,是,适合分享
天妇罗虾,日式,35,不辣,虾面糊,含虾含麸质,是,外酥鲜嫩
日式咖喱饭,日式,25,微辣,咖喱鸡肉米饭,含肉,是,浓郁饱腹
韩式拌饭,韩式,26,微辣,米饭牛肉蔬菜鸡蛋,含肉含蛋,是,营养均衡
韩式部队锅,韩式,45,微辣,香肠泡面芝士,含肉含乳含麸质,是,适合分享
泡菜炒饭,韩式,22,微辣,泡菜米饭鸡蛋,含蛋,是,酸辣开胃
韩式烤肉饭,韩式,32,微辣,猪肉米饭,含肉,是,酱香饱腹
奶油蘑菇汤,西餐,24,不辣,蘑菇奶油,含乳,是,奶香浓郁
意式肉酱面,西餐,28,不辣,牛肉番茄面条,含肉含麸质,是,番茄肉酱
海鲜意面,西餐,36,不辣,虾仁鱿鱼面条,含海鲜含麸质,是,海鲜香
黑椒牛排,西餐,58,微辣,牛肉黑椒,含肉,是,肉质鲜嫩
鸡排意面,西餐,32,不辣,鸡肉意面,含肉含麸质,是,单人套餐
烤鸡披萨套餐,西餐,48,不辣,披萨烤鸡芝士,含肉含乳含麸质,是,套餐饱腹
章鱼小丸子,小吃,18,不辣,章鱼面糊海苔,含海鲜含麸质,是,日式小吃
大阪烧,小吃,25,不辣,卷心菜鸡蛋面糊,含蛋含麸质,是,咸香软嫩
鸡蛋仔,小吃,15,不辣,鸡蛋面粉,含蛋含麸质,是,外脆内软
钵仔糕,小吃,10,不辣,米粉红豆,无,是,软糯甜香
糖葫芦,小吃,10,不辣,山楂冰糖,无,是,酸甜开胃
烤冷面,小吃,15,微辣,冷面鸡蛋火腿,含蛋含肉,是,东北小吃
铁板鱿鱼,小吃,25,微辣,鱿鱼酱料,含海鲜,是,鲜香有嚼劲
果木烤鸭,烤鸭饭,52,不辣,鸭肉面皮,含肉含麸质,是,果木香气
鸭腿饭套餐,烤鸭饭,30,不辣,鸭腿米饭蔬菜,含肉,是,一人套餐
甜辣炸鸡桶,韩式炸鸡,38,微辣,鸡肉辣酱,含肉,是,适合分享
蜂蜜黄油炸鸡,韩式炸鸡,36,不辣,鸡肉蜂蜜黄油,含肉含乳,是,甜咸香脆
芝士热狗,炸类,18,不辣,香肠芝士面糊,含肉含乳,是,拉丝小吃
鸡米花,炸类,18,微辣,鸡肉面糊,含肉含麸质,是,酥脆小食
鱿鱼须炸物,炸类,22,微辣,鱿鱼面糊,含海鲜含麸质,是,香酥海鲜
薯角,炸类,14,不辣,土豆,无,是,外脆内软
炸藕盒,炸类,18,不辣,莲藕猪肉面糊,含肉含麸质,是,家常炸物
炸茄盒,炸类,18,不辣,茄子猪肉面糊,含肉含麸质,是,酥香多汁
炭烤五花肉,碳烤类,32,微辣,五花肉,含肉,是,炭火焦香
炭烤鸡胗,碳烤类,25,中辣,鸡胗孜然,含肉,是,有嚼劲
炭烤鱿鱼,碳烤类,30,微辣,鱿鱼辣酱,含海鲜,是,鲜香弹牙
炭烤蘑菇,碳烤类,18,不辣,蘑菇,无,是,多汁清香
炭烤青椒,碳烤类,15,微辣,青椒,无,是,焦香开胃
炭烤玉米棒,碳烤类,14,不辣,玉米,无,是,香甜饱腹
鱼香茄子,川菜,20,微辣,茄子木耳,无,是,酸甜下饭
干煸四季豆,川菜,22,微辣,四季豆猪肉末,含肉,是,干香下饭
辣子鸡,川菜,30,中辣,鸡肉干辣椒,含肉,是,麻辣酥香
毛血旺,川菜,38,中辣,鸭血毛肚豆芽,含肉,是,重口味川菜
酸辣粉,小吃,15,中辣,红薯粉花生,含花生,是,酸辣爽滑
红油抄手,云吞馄饨,18,中辣,猪肉面皮红油,含肉含麸质,是,红油香辣
钟水饺,面食,16,微辣,猪肉面皮红油,含肉含麸质,是,甜辣鲜香
紫菜包饭,韩式,18,不辣,米饭海苔鸡蛋,含蛋,是,方便清爽
芝士鸡排,韩式,28,不辣,鸡肉芝士,含肉含乳,是,香浓饱腹
韩式冷面,韩式,22,微辣,荞麦面牛肉,含肉,是,清凉开胃
